,MM_id,Brand,laptop_name,display_info,processor_info,RAM,HDD,grapic_Card,colour,laptop,MM_Artkl_number,Nr_of_reviews,Processor,O_S,Screen_size_(cm / inch),Screen_resolution,Memory _Type,Processor_Brand,Processor_Model,Graphics_card_manufacturer,Connections,WLAN_standards,Bluetooth_version,Dimensions_(B / H / T) / Weight,price
865,M_865,APPLE,APPLE MPTV2D/A, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 2 TB SSD, Radeon Pro 560 (+ Intel Grafik 630 automatisch umschaltend), Silber,"APPLE MPTV2D/A, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 2 TB SSD, Radeon Pro 560 (+ Intel Grafik 630 automatisch umschaltend), Silber",2298707,0,3.1 GHz quad-core Intel Core i7 processor (Turbo Boost up to 4.1 GHz),OS Sierra,39.11 cm / 15.4 inches,"2,880 x 1,800 pixels",LPDDR3,Intel,Core i7,AMD,"4x Thunderbold 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"4 9 5 9 , -"
866,M_866,ACER,ACER Nitro 5 (AN515-51-77G1), Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD, GeForce® GTX 1050Ti, Schwarz mit roten Applikationen,"ACER Nitro 5 (AN515-51-77G1), Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD, 1 TB HDD, GeForce® GTX 1050Ti, Schwarz mit roten Applikationen",2363929,1,Intel® Core ? i7-7700HQ processor (up to 3.80 GHz with Intel® Turbo Boost technology ...,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,Intel®,Core? i7,1000 GB,nein,null,null,null,"1 0 9 9 , -"
867,M_867,APPLE,APPLE MacBook Pro MR962D/A-139884 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor,null, 512 GB SSD, Radeon Pro 560X, Silber,"APPLE MacBook Pro MR962D/A-139884 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 512 GB SSD, Radeon Pro 560X, Silber",2458147,0,"2,2 GHz 6-Core Intel Core i7 Prozessor der 8. Generation (Turbo Boost bis zu 4,1 GHz)",Radeon Pro 560X,39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"3159,-"
868,M_868,APPLE,APPLE MacBook Pro MR9Q2D/A-139448 mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 2 TB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9Q2D/A-139448 mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 2 TB SSD, Iris Plus Graphics 655, Space Grau",2458757,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.5 ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"4109,-"
869,M_869,APPLE,APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 16 GB RAM, 256 GB Flash, HD Graphics 615, Space Grey,"APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 16 GB RAM, 256 GB Flash, HD Graphics 615, Space Grey",2295753,0,1.3GHz Intel Dual Core i5 processor (Turbo Boost up to 3.2GHz),macOS Sierra,30.5 cm / 12 inches,"2,304 x 1,440 pixels",LPDDR3,Intel,Core i5,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1 8 5 9 , -"
870,M_870,APPLE,APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB Flash, HD Graphics 615, Space Grey,"APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB Flash, HD Graphics 615, Space Grey",2295463,0,"1,4 GHz Intel Dual-Core Core i7 Prozessor (Turbo Boost bis zu 3,6 GHz)",macOS Sierra,30.5 cm / 12 Zoll,2.304 x 1.440 Pixel,LPDDR3,Intel,Core i7,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"2219,-"
872,M_872,MSI,MSI GV72VR 7RF, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD, GeForce GTX 1060, Schwarz/Anthrazit,"MSI GV72VR 7RF, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 512 GB SSD, 1 TB HDD, GeForce GTX 1060, Schwarz/Anthrazit",2367179,2,Intel® Core ? i7-7700HQ processor (up to 3.80 GHz with Intel® Turbo Boost technology ...,Windows 10 Home,43.9 cm / 17.3 Zoll,1.920 x 1.080 Pixel,DDR4,Intel®,Core? i7,NVIDIA,"1x USB 3.0 Typ-C, 2x USB 3.0, 1x USB 2.0, 1x HDMI, 1x Mini DisplayPort, 1x RJ-45, 1x Mic-in, 1x SPDIF 7.1",Intel® Dual Band Wireless-AC (1x1 AC),null,419 mm x 32 mm x 287 mm / 2.7 kg,"1 4 9 9 , -"
873,M_873,APPLE,APPLE MacBook Pro MR9V2D/A-139668 mit französischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 1 TB SSD, IrisPlus Graphics 655, Silber,"APPLE MacBook Pro MR9V2D/A-139668 mit französischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 1 TB SSD, IrisPlus Graphics 655, Silber",2458033,0,"2,7 GHz Quad-Core Intel Core i7 Prozessor der 8. Generation (Turbo Boost bis zu...",IrisPlus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"3109,-"
874,M_874,APPLE,APPLE MNYK2D, Notebook with 12 inch display, Core i7 processor, 8 GB RAM, 256 GB Flash, HD Graphics 615, Gold,"APPLE MNYK2D, Notebook with 12 inch display, Core i7 processor, 8 GB RAM, 256 GB Flash, HD Graphics 615, Gold",2295587,0,"1,4 GHz Intel Dual-Core Core i7 Prozessor (Turbo Boost bis zu 3,6 GHz)",OS Sierra,30.5 cm / 12 Zoll,2.304 x 1.440 Pixel,LPDDR3,Intel,Core i7,Intel,"1x USB 3.1 Typ-C, 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1799,-"
875,M_875,APPLE,APPLE MacBook Pro MR962D/A-139957 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor,null, 4 TB SSD, Radeon Pro 555X, Silber,"APPLE MacBook Pro MR962D/A-139957 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 4 TB SSD, Radeon Pro 555X, Silber",2458264,0,2.2 GHz 6-Core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.1 GHz),Radeon Pro 555X,39.11 cm / 15.4 inches,"2,880 x 1,800 pixels",DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"6 8 7 9 , -"
876,M_876,APPLE,APPLE MacBook Pro MR932D/A-139783 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 256 GB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139783 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 256 GB SSD, Radeon Pro 560X, Space Grau",2458467,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),"SSD, 256 GB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"3 3 9 9 , -"
877,M_877,APPLE,APPLE MacBook Pro mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 8 GB RAM, 256 GB SSD, Iris Plus Graphics 640, Silber,"APPLE MacBook Pro mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 8 GB RAM, 256 GB SSD, Iris Plus Graphics 640, Silber",2298341,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 inches,"2,560 x 1,600 pixels",LPDDR3,Intel,Core i5,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"1 7 3 9 , -"
878,M_878,APPLE,APPLE MNYH2D/A MacBook, Notebook mit 12 Zoll Display, Core m3 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 615, Silber,"APPLE MNYH2D/A MacBook, Notebook mit 12 Zoll Display, Core m3 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 615, Silber",2284156,1,1.2GHz dual-core Intel Core m3 (Turbo Boost up to 3.0GHz) with 4MB L3 cache,OS Sierra,30.5 cm / 12 inches,"2,304 x 1,440 pixels",LPDDR3,Intel,Core m3,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1 4 9 9 , -"
879,M_879,APPLE,APPLE MacBook Pro MR932D/A-139867 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 4 TB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139867 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 16 GB RAM, 4 TB SSD, Radeon Pro 560X, Space Grau",2458030,0,"2,9 GHz 6-Core Intel Core i9 Prozessor der 8. Generation (Turbo Boost bis zu 4,8 GHz)","SSD , 4 TB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"7479,-"
880,M_880,APPLE,APPLE MacBook Pro with French keyboard, notebook with 13.3 inch display, Core i5 processor, 8 GB RAM, 1 TB SSD, Iris Plus graphics 640, Space Gray,"APPLE MacBook Pro with French keyboard, notebook with 13.3 inch display, Core i5 processor, 8 GB RAM, 1 TB SSD, Iris Plus graphics 640, Space Gray",2395064,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.3 GHz,LPDDR3,IPS,ja,Intel,ja,802.11 a/b/g/n/ac,ja,null,"2 5 0 0 , -"
881,M_881,APPLE,APPLE MacBook Pro MR962D/A-140018 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 256 GB SSD, Radeon Pro 555X, Silber,"APPLE MacBook Pro MR962D/A-140018 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 256 GB SSD, Radeon Pro 555X, Silber",2458527,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),Radeon Pro 555X,39.11 cm / 15.4 inches,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"3 7 5 9 , -"
882,M_882,APPLE,APPLE MacBook Pro MR932D/A-139829 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 512 GB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139829 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 512 GB SSD, Radeon Pro 560X, Space Grau",2458522,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),"SSD, 512 GB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"4119,-"
883,M_883,HYRICAN,HYRICAN NOT01572, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD, Geforce® GTX 1070, Schwarz,"HYRICAN NOT01572, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 120 GB SSD, 1 TB HDD, Geforce® GTX 1070, Schwarz",2373602,0,"Intel® Core? i7-7700HQ Prozessor (bis zu 3,80 GHz mit Intel® Turbo-Boost-Technik...","SSD , 120 GB , M.2",43.9 cm / 17.3 Zoll,1.920 x 1.080 Pixel,DDR4,Intel®,Core? i7,NVIDIA,"4x USB3.1 (Gen1), 1x USB3.1 (Gen1, Type C), 2x MiniDisplayPort, 1x HDMI, 1x Kopfhörer, 1x Mikrofon, 1x 2-in-1 Audio Jack Line-out/S/PDIF opt.), 1x RJ45",Intel® Dual Band Wireless-AC (2x2 AC),4.2,419 mm x 25 mm x 288 mm / 3.0 kg,"1599,-"
884,M_884,DELL,DELL XPS 13 9370 SILVER I5-8250U / 8 GB / 256 GB SILVER, notebook with 13.3 inch display, Core ? i5 processor, 8 GB RAM, Intel UHD Graphics 620, Platium, Silver,"DELL XPS 13 9370 SILVER I5-8250U / 8 GB / 256 GB SILVER, notebook with 13.3 inch display, Core ? i5 processor, 8 GB RAM, 256 GB SSD, Intel UHD Graphics 620, Platium, Silver",2401155,0,8th gen Intel® Core ? i5-8250U,Ubuntu Linux 16.04 SP1,39.6 cm / 13.3 inches,3.840 x 2.160 Pixel,LPDDR3,Intel®,Core? i5,Intel,nein,null,null,null,"1359,-"
885,M_885,APPLE,APPLE MacBook Pro MR962D/A-140016 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 2 TB SSD, Radeon Pro 555X, Silber,"APPLE MacBook Pro MR962D/A-140016 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 2 TB SSD, Radeon Pro 555X, Silber",2458372,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),Radeon Pro 555X,39.11 cm / 15.4 inches,"2,880 x 1,800 pixels",DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"4 9 5 9 , -"
886,M_886,APPLE,APPLE MacBook Pro MR9U2D/A-139475 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 256 GB SSD, Iris Plus Graphics 655, Silber,"APPLE MacBook Pro MR9U2D/A-139475 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 256 GB SSD, Iris Plus Graphics 655, Silber",2458381,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to 3.8 ...,Iris Plus Graphics 655,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"1 9 9 9 , -"
887,M_887,APPLE,APPLE MacBook Pro MR962D/A-139901 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 2 TB SSD, Radeon Pro 555X, Silber,"APPLE MacBook Pro MR962D/A-139901 mit deutscher Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 2 TB SSD, Radeon Pro 555X, Silber",2458164,0,"2,9 GHz 6-Core Intel Core i9 Prozessor der 8. Generation (Turbo Boost bis zu 4,8 GHz)",Radeon Pro 555X,39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"5439,-"
888,M_888,ACER,ACER Swift 5 (SF515-51T-7828), Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD, Intel® UHD Grafik 620, Blau,"ACER Swift 5 (SF515-51T-7828), Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD, Intel® UHD Grafik 620, Blau",2479567,0,Intel® Core ? i7-8565U processor (up to 4.60 GHz with Intel® Turbo Boost technology ...,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,1.920 x 1.080 Pixel,DDR4,Intel®,Core? i7,Intel®,nein,null,null,null,"1 1 9 9 , -"
889,M_889,APPLE,APPLE MacBook Pro MR9R2D/A-139569 mit internationaler Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 1 TB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9R2D/A-139569 mit internationaler Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 1 TB SSD, Iris Plus Graphics 655, Space Grau",2458482,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 9 8 9 , -"
890,M_890,APPLE,APPLE MacBook Pro MR932D/A-139843 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 256 GB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139843 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 256 GB SSD, Radeon Pro 560X, Space Grau",2458417,0,2.2 GHz 6-Core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.1 GHz),"SSD, 256 GB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"2 9 1 9 , -"
891,M_891,APPLE,APPLE MacBook Pro MR9U2D/A-139518 mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 512 GB SSD, Iris Plus Graphics 655, Silber,"APPLE MacBook Pro MR9U2D/A-139518 mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 512 GB SSD, Iris Plus Graphics 655, Silber",2458337,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.5 ...,Iris Plus Graphics 655,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 6 0 9 , -"
892,M_892,APPLE,APPLE MacBook Pro MR932D/A-139806 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 2 TB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139806 mit britischer Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 16 GB RAM, 2 TB SSD, Radeon Pro 560X, Space Grau",2458502,0,2.2 GHz 6-Core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.1 GHz),"SSD, 2 TB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"4 5 9 9 , -"
893,M_893,APPLE,APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 8 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Space Grey,"APPLE MacBook Pro mit deutscher Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 8 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Space Grey",2298212,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 4 9 9 , -"
894,M_894,APPLE,APPLE MacBook Pro MR962D/A-139987 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 4 TB SSD, Radeon Pro 560X, Silber,"APPLE MacBook Pro MR962D/A-139987 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 4 TB SSD, Radeon Pro 560X, Silber",2458317,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),Radeon Pro 560X,39.11 cm / 15.4 inches,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"7 4 7 9 , -"
895,M_895,APPLE,APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 16 GB RAM, 512 GB Flash, HD Graphics 615, Space Grey,"APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 16 GB RAM, 512 GB Flash, HD Graphics 615, Space Grey",2295462,0,"1,3 GHz Intel Dual-Core Core i5 Prozessor (Turbo Boost bis zu 3,2 GHz)",macOS Sierra,30.5 cm / 12 Zoll,2.304 x 1.440 Pixel,LPDDR3,Intel,Core i5,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"2039,-"
896,M_896,APPLE,APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Silber,"APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 16 GB RAM, 1 TB SSD, Iris Plus Graphics 640, Silber",2297852,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 7 4 9 , -"
897,M_897,APPLE,APPLE MacBook Pro mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, Iris Plus Graphics 640, Space Grey,"APPLE MacBook Pro mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 256 GB SSD, Iris Plus Graphics 640, Space Grey",2294266,0,2.5 GHz dual-core Intel Core i7 processor (Turbo Boost up to 4.0 GHz),macOS Sierra,33.78 cm / 13.3 inches,"2,560 x 1,600 pixels",LPDDR3,Intel,Core i7,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 1 0 9 , -"
898,M_898,APPLE,APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 8 GB RAM, 256 GB Flash, HD Graphics 615, Space Grey,"APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 8 GB RAM, 256 GB Flash, HD Graphics 615, Space Grey",2295954,0,1.3GHz Intel Dual Core i5 processor (Turbo Boost up to 3.2GHz),macOS Sierra,30.5 cm / 12 inches,"2,304 x 1,440 pixels",LPDDR3,Intel,Core i5,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1 6 1 9 , -"
